name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
dublin,2023-12-17,12.5,10,11.3,12.5,10,11.3,8.4,82.4,0.008,100,4.17,rain,0,0,61.2,37,215.4,1024.3,87.9,20.4,27.2,2.3,2,,2023-12-17T08:35:29,2023-12-17T16:06:29,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-18,13.1,9.1,12,13.1,7.4,11.7,10.5,90.9,0.474,100,8.33,rain,0,0,45.7,24,238.1,1021,90.2,19.6,14.9,1.3,1,,2023-12-18T08:36:14,2023-12-18T16:06:44,0.2,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-19,9,5.1,6.9,7.1,1.5,3.5,4.9,86.8,0.374,100,12.5,rain,0,0,56.2,28.8,261.9,1021.5,53.2,19.2,18,1.5,2,,2023-12-19T08:36:55,2023-12-19T16:07:03,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-20,10.8,6.7,9.2,10.8,2.8,6.8,7.7,90.3,0.081,100,8.33,rain,0,0,69.8,44.7,263.1,1017.4,88.2,12.7,9.1,0.8,1,,2023-12-20T08:37:33,2023-12-20T16:07:25,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-21,11.1,8.9,10.4,11.1,4.9,9.1,7.8,84.3,0.312,100,12.5,rain,0,0,84,55.9,273.6,1011.3,88.5,12.3,9.5,0.7,1,,2023-12-21T08:38:07,2023-12-21T16:07:51,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-22,10.1,8.7,9.5,10.1,4.5,5.9,7.2,85.9,0.527,100,8.33,rain,0,0,72,46.4,268.6,1014.7,88.8,15,15.4,1.3,1,,2023-12-22T08:38:38,2023-12-22T16:08:21,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-23,12.2,9,10.2,12.2,4.8,8.5,8.6,89.8,0.079,100,12.5,rain,0,0,72.4,38.7,248.9,1009.2,91.3,11.7,17.2,1.5,1,,2023-12-23T08:39:05,2023-12-23T16:08:55,0.37,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-24,12.8,9,11.3,12.8,5.3,10.6,9.7,90.2,1.247,100,8.33,rain,0,0,74.9,48.1,252.6,1000.5,80.7,11.5,17.8,1.5,1,,2023-12-24T08:39:29,2023-12-24T16:09:32,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-25,9.6,6.6,8.4,6.7,2.2,5.1,6.2,86.2,0.38,100,8.33,rain,0,0,62.6,30.6,241.3,1002.7,74.6,14.7,11.5,1,1,,2023-12-25T08:39:49,2023-12-25T16:10:12,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-26,7.8,3.8,5.7,5.1,0.5,2.6,3.8,87.6,0.001,100,4.17,rain,0,0,68.4,35.7,218.9,1012.2,65.9,16.3,14.1,1.1,1,,2023-12-26T08:40:05,2023-12-26T16:10:56,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-27,13.5,5.6,8.9,13.5,1.2,6.4,6.8,87,9.965,100,16.67,rain,0,0,88.9,39.1,193,990.6,85.9,12.8,9.3,0.8,1,,2023-12-27T08:40:18,2023-12-27T16:11:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-28,9.1,6.7,7.6,5.6,1.9,3.5,4.4,80.3,3.627,100,8.33,rain,0,0,67.4,38.4,229.5,993.5,71.5,19,14.4,1.3,1,,2023-12-28T08:40:27,2023-12-28T16:12:35,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
