,ID,contract,name,address,banking,bonus,stands,position_lat,position_lng,status
63,82,dublin,MOUNT BROWN,Mount Brown,0,0,22,53.341645,-6.29719,OPEN
64,76,dublin,MARKET STREET SOUTH,Market Street South,0,0,38,53.342296,-6.287661,OPEN
65,71,dublin,KEVIN STREET,Kevin Street,0,0,40,53.337757,-6.267699,OPEN
66,79,dublin,ECCLES STREET EAST,Eccles Street East,0,0,27,53.358115,-6.265601,OPEN
67,69,dublin,GRAND CANAL DOCK,Grand Canal Dock,0,0,40,53.342638,-6.238695,OPEN
68,25,dublin,MERRION SQUARE EAST,Merrion Square East,0,0,30,53.339434,-6.246548,OPEN
69,51,dublin,YORK STREET WEST,York Street West,0,0,40,53.339334,-6.264699,OPEN
70,37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,1,0,30,53.337494,-6.26199,OPEN
71,59,dublin,DENMARK STREET GREAT,Denmark Street Great,0,0,20,53.35561,-6.261397,OPEN
72,95,dublin,ROYAL HOSPITAL,Royal Hospital,0,0,40,53.343897,-6.29706,OPEN
73,94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),0,0,40,53.346985,-6.297804,OPEN
74,105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),0,0,36,53.355954,-6.278378,OPEN
75,36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,0,0,40,53.337824,-6.256035,OPEN
76,93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),0,0,40,53.346603,-6.296924,OPEN
77,22,dublin,TOWNSEND STREET,Townsend Street,0,0,20,53.345922,-6.254614,OPEN
78,50,dublin,GEORGES LANE,George's Lane,0,0,40,53.35023,-6.279696,OPEN
79,110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,0,0,40,53.356307,-6.273717,OPEN
80,12,dublin,ECCLES STREET,Eccles Street,0,0,20,53.359246,-6.269779,OPEN
81,34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,0,0,30,53.330362,-6.265163,OPEN
82,78,dublin,MATER HOSPITAL,Mater Hospital,0,0,40,53.359967,-6.264828,OPEN
83,2,dublin,BLESSINGTON STREET,Blessington Street,0,0,20,53.356769,-6.26814,OPEN
84,75,dublin,JAMES STREET,James Street,0,0,40,53.343456,-6.287409,OPEN
85,111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,0,0,40,53.356717,-6.256359,OPEN
86,26,dublin,MERRION SQUARE WEST,Merrion Square West,1,0,20,53.339764,-6.251988,OPEN
87,65,dublin,CONVENTION CENTRE,Convention Centre,1,0,40,53.34744,-6.238523,OPEN
88,15,dublin,HARDWICKE STREET,Hardwicke Street,0,0,16,53.355473,-6.264423,OPEN
89,86,dublin,PARKGATE STREET,Parkgate Street,0,0,38,53.347972,-6.291804,OPEN
90,35,dublin,SMITHFIELD,Smithfield,0,0,30,53.347692,-6.278214,OPEN
91,10,dublin,DAME STREET,Dame Street,1,0,16,53.344007,-6.266802,OPEN
92,100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),0,0,25,53.347106,-6.292041,OPEN
93,24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,0,0,20,53.352149,-6.260533,OPEN
94,64,dublin,SANDWITH STREET,Sandwith Street,0,0,40,53.345203,-6.247163,OPEN
95,109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,0,0,29,53.353331,-6.249319,OPEN
96,85,dublin,ROTHE ABBEY,Rothe Abbey,0,0,35,53.338776,-6.30395,OPEN
97,107,dublin,CHARLEVILLE ROAD,Charleville Road,0,0,40,53.359157,-6.281866,OPEN
98,33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,1,0,23,53.349013,-6.260311,OPEN
99,44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,0,0,30,53.358437,-6.260641,OPEN
100,89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,0,0,40,53.335211,-6.2509,OPEN
101,57,dublin,GRATTAN STREET,Grattan Street,0,0,23,53.339629,-6.243778,OPEN
102,80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),0,0,40,53.341359,-6.292951,OPEN
103,41,dublin,HARCOURT TERRACE,Harcourt Terrace,0,0,20,53.332763,-6.257942,OPEN
104,3,dublin,BOLTON STREET,Bolton Street,0,0,20,53.351182,-6.269859,OPEN
105,40,dublin,JERVIS STREET,Jervis Street,0,0,21,53.3483,-6.266651,OPEN
106,29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,0,0,29,53.346057,-6.268001,OPEN
107,103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),0,0,40,53.354663,-6.278681,OPEN
108,28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,0,0,30,53.356299,-6.258586,OPEN
109,39,dublin,WILTON TERRACE,Wilton Terrace,0,0,20,53.332383,-6.252717,OPEN
110,83,dublin,EMMET ROAD,Emmet Road,0,0,40,53.340714,-6.308191,OPEN
111,92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),0,0,40,53.347802,-6.292432,OPEN
112,21,dublin,LEINSTER STREET SOUTH,Leinster Street South,0,0,30,53.34218,-6.254485,OPEN
113,88,dublin,BLACKHALL PLACE,Blackhall Place,0,0,30,53.3488,-6.281637,OPEN
