,ID,bikes,bike_stands,last_update
0,42,30,0,1708652136000
1,30,10,10,1708652176000
2,54,1,32,1708651881000
3,108,27,8,1708651836000
4,20,0,30,1708651991000
5,56,1,39,1708652035000
6,6,5,15,1708651865000
7,18,10,20,1708651908000
8,32,14,16,1708651908000
9,52,0,32,1708651767000
10,48,22,18,1708651922000
11,13,0,30,1708651851000
12,43,29,1,1708651875000
13,31,7,13,1708651827000
14,98,0,40,1708651841000
15,14,17,13,1708651999000
16,1,1,30,1708652021000
17,23,27,3,1708651877000
18,106,9,31,1708652355000
19,112,30,0,1708651856000
20,68,2,38,1708652136000
21,74,8,22,1708651921000
22,87,14,24,1708651836000
23,84,15,15,1708651900000
24,90,1,39,1708652106000
25,11,0,30,1708652310000
26,17,0,20,1708651904000
27,45,26,4,1708651949000
28,114,0,40,1708652005000
29,72,4,27,1708652071000
30,63,0,35,1708651867000
31,113,0,40,1708651815000
32,91,20,10,1708651858000
33,99,5,25,1708651906000
34,9,0,24,1708652004000
35,67,21,19,1708651850000
36,116,7,23,1708652159000
37,55,0,36,1708651985000
38,62,16,24,1708651851000
39,5,40,0,1708652231000
40,97,36,4,1708651781000
41,61,0,25,1708652117000
42,77,9,20,1708651799000
43,73,23,7,1708651888000
44,4,11,9,1708651887000
45,49,31,9,1708652072000
46,19,0,30,1708652020000
47,7,2,27,1708651790000
48,60,29,1,1708652011000
49,102,10,30,1708651768000
50,38,27,13,1708651950000
51,53,0,40,1708651871000
52,58,1,39,1708652035000
53,66,5,35,1708651829000
54,104,4,36,1708651811000
55,101,11,19,1708652299000
56,115,30,0,1708651961000
57,47,1,39,1708651829000
58,117,25,15,1708651851000
59,8,20,10,1708651993000
60,27,0,20,1708651900000
61,16,16,4,1708651766000
62,96,15,15,1708652334000
63,82,16,6,1708651753000
64,76,3,35,1708652301000
65,71,6,34,1708652291000
66,79,0,27,1708652152000
67,69,1,39,1708652130000
68,25,3,27,1708651933000
69,51,0,40,1708652347000
70,37,0,30,1708652348000
71,59,9,11,1708651867000
72,95,17,23,1708652022000
73,94,34,6,1708651937000
74,105,7,29,1708651923000
75,36,0,40,1708651760000
76,93,40,0,1708651845000
77,22,15,5,1708651899000
78,50,40,0,1708652059000
79,110,12,28,1708651964000
80,12,6,14,1708652341000
81,34,23,7,1708652018000
82,78,18,22,1708651840000
83,2,13,7,1708651753000
84,75,6,33,1708651992000
85,111,11,29,1708652345000
86,26,8,12,1708651933000
87,65,1,39,1708652061000
88,15,3,13,1708652170000
89,86,38,0,1708652349000
90,35,27,3,1708651876000
91,10,10,6,1708652047000
92,100,25,0,1708652063000
93,24,17,3,1708651976000
94,64,36,4,1708652147000
95,109,19,10,1708652182000
96,85,17,18,1708651981000
97,107,16,24,1708651753000
98,33,17,6,1708652015000
99,44,27,3,1708651933000
100,89,0,40,1708651897000
101,57,6,17,1708651821000
102,80,9,31,1708651961000
103,41,15,5,1708652302000
104,3,9,11,1708651878000
105,40,5,16,1708652008000
106,29,12,17,1708651988000
107,103,0,40,1708651999000
108,28,10,20,1708651873000
109,39,1,19,1708651994000
110,83,27,13,1708651838000
111,92,39,1,1708651807000
112,21,3,27,1708651843000
113,88,21,9,1708651834000
