,ID,bikes,bike_stands,last_update
0,42,27,3,1708994995000
1,30,1,19,1708995177000
2,54,10,23,1708995398000
3,108,7,28,1708994989000
4,20,1,29,1708995128000
5,56,10,30,1708995045000
6,6,4,16,1708994918000
7,18,24,6,1708995113000
8,32,0,30,1708995084000
9,52,10,22,1708994958000
10,48,15,25,1708995369000
11,13,4,26,1708995374000
12,43,30,0,1708995031000
13,31,4,16,1708994954000
14,98,6,34,1708995055000
15,14,17,13,1708995355000
16,1,1,30,1708995140000
17,23,23,7,1708995067000
18,106,21,19,1708995382000
19,112,30,0,1708995004000
20,68,15,25,1708995282000
21,74,8,22,1708995334000
22,87,12,26,1708994914000
23,84,16,14,1708995070000
24,90,5,35,1708995338000
25,11,1,29,1708994882000
26,17,2,18,1708994915000
27,45,29,1,1708995355000
28,114,4,36,1708995102000
29,72,4,27,1708995291000
30,63,17,18,1708995343000
31,113,13,27,1708994982000
32,91,30,0,1708995310000
33,99,14,16,1708995084000
34,9,0,24,1708995150000
35,67,28,12,1708995058000
36,116,1,29,1708995426000
37,55,3,33,1708995167000
38,62,7,33,1708995021000
39,5,40,0,1708995286000
40,97,22,18,1708994826000
41,61,0,25,1708995148000
42,77,16,13,1708995007000
43,73,8,22,1708995348000
44,4,11,9,1708995219000
45,49,18,22,1708995213000
46,19,0,30,1708995238000
47,7,17,12,1708995296000
48,60,29,1,1708995210000
49,102,6,34,1708994935000
50,38,35,5,1708995122000
51,53,3,37,1708995033000
52,58,4,36,1708995172000
53,66,11,29,1708995051000
54,104,0,40,1708995078000
55,101,10,20,1708994901000
56,115,30,0,1708995212000
57,47,0,40,1708995195000
58,117,13,27,1708994918000
59,8,17,13,1708995163000
60,27,0,20,1708994965000
61,16,18,2,1708994884000
62,96,5,25,1708995369000
63,82,8,14,1708995336000
64,76,13,25,1708994861000
65,71,10,30,1708995341000
66,79,2,25,1708995029000
67,69,15,25,1708995335000
68,25,6,24,1708995107000
69,51,12,28,1708994924000
70,37,1,29,1708994952000
71,59,1,19,1708995051000
72,95,26,14,1708995209000
73,94,7,33,1708995351000
74,105,2,34,1708995105000
75,36,0,39,1708994988000
76,93,40,0,1708994974000
77,22,17,3,1708995008000
78,50,33,7,1708995425000
79,110,7,33,1708995136000
80,12,20,0,1708995008000
81,34,28,2,1708995314000
82,78,3,37,1708995006000
83,2,7,13,1708994924000
84,75,11,29,1708995340000
85,111,16,24,1708994864000
86,26,4,16,1708994925000
87,65,2,38,1708995290000
88,15,5,11,1708995134000
89,86,19,19,1708994908000
90,35,29,1,1708995253000
91,10,13,3,1708995167000
92,100,23,2,1708995229000
93,24,15,5,1708995167000
94,64,15,25,1708995133000
95,109,29,0,1708995055000
96,85,21,14,1708995130000
97,107,14,26,1708994954000
98,33,8,15,1708995345000
99,44,20,10,1708995031000
100,89,0,40,1708995375000
101,57,4,19,1708994942000
102,80,13,27,1708995156000
103,41,18,2,1708994889000
104,3,5,15,1708995010000
105,40,0,21,1708995281000
106,29,18,11,1708995117000
107,103,1,39,1708995341000
108,28,13,17,1708995338000
109,39,7,13,1708995156000
110,83,16,24,1708994971000
111,92,37,3,1708994972000
112,21,13,17,1708994959000
113,88,22,8,1708995021000
