,number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position.lat,position.lng
38,62,dublin,LIME STREET,Lime Street,False,False,40,16,24,OPEN,1709211987000,53.346026,-6.243576
39,5,dublin,CHARLEMONT PLACE,Charlemont Street,False,False,40,39,1,OPEN,1709212039000,53.330662,-6.260177
40,97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,False,False,40,23,17,OPEN,1709211752000,53.342113,-6.310015
41,61,dublin,HARDWICKE PLACE,Hardwicke Place,False,False,25,18,7,OPEN,1709211657000,53.357043,-6.263232
42,77,dublin,WOLFE TONE STREET,Wolfe Tone Street,False,False,29,22,7,OPEN,1709212113000,53.348875,-6.267459
43,73,dublin,FRANCIS STREET,Francis Street,False,False,30,30,0,OPEN,1709211833000,53.342081,-6.275233
44,4,dublin,GREEK STREET,Greek Street,False,False,20,14,6,OPEN,1709211830000,53.346874,-6.272976
45,49,dublin,GUILD STREET,Guild Street,False,False,40,8,32,OPEN,1709212010000,53.347932,-6.240928
46,19,dublin,HERBERT PLACE,Herbert Place,False,False,30,10,20,OPEN,1709212022000,53.334432,-6.245575
47,7,dublin,HIGH STREET,High Street,False,False,29,29,0,OPEN,1709211762000,53.343565,-6.275071
48,60,dublin,NORTH CIRCULAR ROAD,North Circular Road,False,False,30,14,16,OPEN,1709212001000,53.359624,-6.260348
49,102,dublin,WESTERN WAY,Western Way,False,False,40,33,7,OPEN,1709211962000,53.354929,-6.269425
50,38,dublin,TALBOT STREET,Talbot Street,False,False,40,3,37,OPEN,1709211968000,53.350974,-6.25294
51,53,dublin,NEWMAN HOUSE,Newman House,False,False,40,30,10,OPEN,1709211780000,53.337132,-6.26059
52,58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,False,False,40,1,39,OPEN,1709212052000,53.339218,-6.240642
53,66,dublin,NEW CENTRAL BANK,New Central Bank,False,False,40,17,23,OPEN,1709212054000,53.347122,-6.234749
54,104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),False,False,40,28,12,OPEN,1709212099000,53.355173,-6.278424
55,101,dublin,KING STREET NORTH,King Street North,False,False,30,27,3,OPEN,1709211696000,53.350291,-6.273507
56,115,dublin,KILLARNEY STREET,Killarney Street,False,False,30,26,4,OPEN,1709212129000,53.354845,-6.247579
57,47,dublin,HERBERT STREET,Herbert Street,False,False,40,19,21,OPEN,1709211712000,53.335742,-6.24551
58,117,dublin,HANOVER QUAY EAST,Hanover Quay East,False,False,40,26,14,OPEN,1709211714000,53.343653,-6.231755
59,8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,False,False,30,13,17,OPEN,1709212116000,53.347884,-6.248048
60,27,dublin,MOLESWORTH STREET,Molesworth Street,False,False,20,5,15,OPEN,1709212136000,53.341288,-6.258117
61,16,dublin,GEORGES QUAY,Georges Quay,False,False,20,15,5,OPEN,1709211801000,53.347508,-6.252192
62,96,dublin,KILMAINHAM LANE,Kilmainham Lane,False,False,30,18,12,OPEN,1709211642000,53.341805,-6.305085
63,82,dublin,MOUNT BROWN,Mount Brown,False,False,22,19,3,OPEN,1709211860000,53.341645,-6.29719
64,76,dublin,MARKET STREET SOUTH,Market Street South,False,False,38,37,1,OPEN,1709211664000,53.342296,-6.287661
65,71,dublin,KEVIN STREET,Kevin Street,False,False,40,38,2,OPEN,1709212080000,53.337757,-6.267699
66,79,dublin,ECCLES STREET EAST,Eccles Street East,False,False,27,26,1,OPEN,1709211819000,53.358115,-6.265601
67,69,dublin,GRAND CANAL DOCK,Grand Canal Dock,False,False,40,17,23,OPEN,1709212107000,53.342638,-6.238695
68,25,dublin,MERRION SQUARE EAST,Merrion Square East,False,False,30,8,22,OPEN,1709212013000,53.339434,-6.246548
69,51,dublin,YORK STREET WEST,York Street West,False,False,40,32,8,OPEN,1709211653000,53.339334,-6.264699
70,37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,True,False,30,28,2,OPEN,1709211779000,53.337494,-6.26199
71,59,dublin,DENMARK STREET GREAT,Denmark Street Great,False,False,20,19,1,OPEN,1709211828000,53.35561,-6.261397
72,95,dublin,ROYAL HOSPITAL,Royal Hospital,False,False,40,27,13,OPEN,1709212094000,53.343897,-6.29706
73,94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),False,False,40,40,0,OPEN,1709211832000,53.346985,-6.297804
74,105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),False,False,36,19,17,OPEN,1709211919000,53.355954,-6.278378
75,36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,False,False,40,15,25,OPEN,1709211719000,53.337824,-6.256035
76,93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),False,False,40,40,0,OPEN,1709211783000,53.346603,-6.296924
77,22,dublin,TOWNSEND STREET,Townsend Street,False,False,20,15,5,OPEN,1709212085000,53.345922,-6.254614
78,50,dublin,GEORGES LANE,George's Lane,False,False,40,35,5,OPEN,1709211959000,53.35023,-6.279696
79,110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,False,False,40,40,0,OPEN,1709211907000,53.356307,-6.273717
80,12,dublin,ECCLES STREET,Eccles Street,False,False,20,18,2,OPEN,1709212129000,53.359246,-6.269779
81,34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,False,False,30,30,0,OPEN,1709211911000,53.330362,-6.265163
82,78,dublin,MATER HOSPITAL,Mater Hospital,False,False,40,13,27,OPEN,1709211811000,53.359967,-6.264828
83,2,dublin,BLESSINGTON STREET,Blessington Street,False,False,20,18,2,OPEN,1709211988000,53.356769,-6.26814
