name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
dublin,2023-12-01T00:00:00,-1.1,-4.2,-2.1,93.44,0,0,,0,0,16.2,8.4,275,1009.4,17.2,17.2,0,0,0,,Clear,clear-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T01:00:00,-1.9,-5.4,-3,92.16,0,0,,0,0,16.2,9.6,310,1009.5,39.3,17.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T02:00:00,-1.9,-4.7,-3,92.16,0,0,,0,0,17.6,7.4,288,1009.6,80.1,17.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T03:00:00,-1.5,-5,-2.5,92.9,0,0,,0,0,19.1,9.6,271,1009.6,76.7,17.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T04:00:00,-1.9,-6.2,-3,92.34,0,0,,0,0,19.1,12.7,287,1009.5,15.7,17.2,0,0,0,,Clear,clear-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T05:00:00,-2.2,-7.2,-3.1,93.37,0,0,,0,0,19.1,15.2,279,1009.6,19.8,17.2,0,0,0,,Clear,clear-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T06:00:00,-2.3,-7.1,-3.3,92.86,0,0,,0,0,16.9,14.5,280,1009.7,25.3,17.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T07:00:00,-3,-7.4,-3.7,95.08,0,0,,0,0,17.6,11.9,283,1009.7,25.3,17.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T08:00:00,-2.5,-5.4,-3.4,93.03,0,0,,0,0,16.9,7.4,248,1010.5,27.9,20.4,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T09:00:00,-2.6,-7.2,-3.6,92.58,0,0,,0,0,16.6,13.5,280,1010.6,49,21.7,18,0.1,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T10:00:00,-0.9,-5.4,-1.8,93.02,0,0,,0,0,16.6,14.9,263,1010.9,67.5,21.7,40,0.1,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T11:00:00,0.5,-2.5,-0.9,90.34,0,0,,0,0,15.8,9.3,262,1011.3,83.9,21.7,167,0.6,2,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2023-12-01T12:00:00,2.8,0.3,0.1,82.22,0,0,,0,0,18.4,9,281,1011.1,83.9,21.7,262,0.9,3,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
