name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
dublin,2024-01-01T00:00:00,5.8,1.1,3.3,84.33,0.078,100,rain,0,0,50,30.1,257,994.4,64.9,19.2,0,0,0,,"Rain, Partially cloudy",rain,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-01-01T01:00:00,5,0.1,3,86.73,0,0,,0,0,68.8,29.9,257,994.8,25,19.3,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-01-01T02:00:00,4.8,-0.1,2.2,83.05,0,0,,0,0,48.2,28.5,257,995.5,17.2,19.3,0,0,0,,Clear,clear-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-01-01T03:00:00,4.5,0,2,83.87,0,0,,0,0,42.5,24,254,996.4,17.3,19.3,0,0,0,,Clear,clear-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-01-01T04:00:00,4.7,0.5,2.1,82.67,0,0,,0,0,61.6,22.3,240,997.2,17.2,19.3,0,0,0,,Clear,clear-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-01-01T05:00:00,4,-0.1,1.6,84.11,0,0,,0,0,56.5,19.6,237,997.6,17.2,19.3,0,0,0,,Clear,clear-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-01-01T06:00:00,3.9,-0.4,1.3,83.16,0,0,,0,0,35.3,20.4,234,997.6,19.7,19.3,0,0,0,,Clear,clear-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-01-01T07:00:00,4,0.2,1.8,85.15,0,0,,0,0,45,17.7,237,998.3,25,19.2,0,0,0,,Partially cloudy,partly-cloudy-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-01-01T08:00:00,3.8,0.2,1.5,84.53,0,0,,0,0,36.4,16,237,998.4,17.2,17.9,0,0,0,,Clear,clear-night,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-01-01T09:00:00,3.8,0.6,1,81.82,0,0,,0,0,24.5,13,216,998.5,24.9,20.4,0,0,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
dublin,2024-01-01T10:00:00,4,1.1,1.4,83.29,0,0,,0,0,13,11.4,205,998.5,85.1,21.1,19,0.1,0,,Partially cloudy,partly-cloudy-day,"03971099999,F4142,EIDW,03969099999,03967099999,EIME"
