,number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position.lat,position.lng
52,58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,0,0,40,31,9,OPEN,1709177856000,53.339218,-6.240642
53,66,dublin,NEW CENTRAL BANK,New Central Bank,0,0,40,31,9,OPEN,1709177732000,53.347122,-6.234749
54,104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),0,0,40,29,11,OPEN,1709177912000,53.355173,-6.278424
55,101,dublin,KING STREET NORTH,King Street North,0,0,30,15,15,OPEN,1709177740000,53.350291,-6.273507
56,115,dublin,KILLARNEY STREET,Killarney Street,0,0,30,9,21,OPEN,1709177967000,53.354845,-6.247579
57,47,dublin,HERBERT STREET,Herbert Street,0,0,40,40,0,OPEN,1709177792000,53.335742,-6.24551
58,117,dublin,HANOVER QUAY EAST,Hanover Quay East,0,0,40,40,0,OPEN,1709177792000,53.343653,-6.231755
59,8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,0,0,30,30,0,OPEN,1709177852000,53.347884,-6.248048
60,27,dublin,MOLESWORTH STREET,Molesworth Street,0,0,20,20,0,OPEN,1709177828000,53.341288,-6.258117
61,16,dublin,GEORGES QUAY,Georges Quay,0,0,20,10,10,OPEN,1709177733000,53.347508,-6.252192
62,96,dublin,KILMAINHAM LANE,Kilmainham Lane,0,0,30,8,22,OPEN,1709177731000,53.341805,-6.305085
63,82,dublin,MOUNT BROWN,Mount Brown,0,0,22,8,14,OPEN,1709177798000,53.341645,-6.29719
64,76,dublin,MARKET STREET SOUTH,Market Street South,0,0,38,24,14,OPEN,1709177729000,53.342296,-6.287661
65,71,dublin,KEVIN STREET,Kevin Street,0,0,40,32,8,OPEN,1709177732000,53.337757,-6.267699
66,79,dublin,ECCLES STREET EAST,Eccles Street East,0,0,27,26,1,OPEN,1709177907000,53.358115,-6.265601
67,69,dublin,GRAND CANAL DOCK,Grand Canal Dock,0,0,40,36,4,OPEN,1709177916000,53.342638,-6.238695
68,25,dublin,MERRION SQUARE EAST,Merrion Square East,0,0,30,30,0,OPEN,1709178036000,53.339434,-6.246548
69,51,dublin,YORK STREET WEST,York Street West,0,0,40,34,6,OPEN,1709177738000,53.339334,-6.264699
70,37,dublin,ST. STEPHEN'S GREEN SOUTH,St. Stephen's Green South,1,0,30,30,0,OPEN,1709177855000,53.337494,-6.26199
71,59,dublin,DENMARK STREET GREAT,Denmark Street Great,0,0,20,15,5,OPEN,1709177910000,53.35561,-6.261397
72,95,dublin,ROYAL HOSPITAL,Royal Hospital,0,0,40,24,16,OPEN,1709177974000,53.343897,-6.29706
73,94,dublin,HEUSTON STATION (CAR PARK),Heuston Station (Car Park),0,0,40,20,20,OPEN,1709177910000,53.346985,-6.297804
74,105,dublin,GRANGEGORMAN LOWER (NORTH),Grangegorman Lower (North),0,0,36,18,18,OPEN,1709177970000,53.355954,-6.278378
75,36,dublin,ST. STEPHEN'S GREEN EAST,St. Stephen's Green East,0,0,40,39,1,OPEN,1709177763000,53.337824,-6.256035
76,93,dublin,HEUSTON STATION (CENTRAL),Heuston Station (Central),0,0,40,0,40,OPEN,1709177845000,53.346603,-6.296924
77,22,dublin,TOWNSEND STREET,Townsend Street,0,0,20,9,11,OPEN,1709177794000,53.345922,-6.254614
78,50,dublin,GEORGES LANE,George's Lane,0,0,40,5,35,OPEN,1709177972000,53.35023,-6.279696
79,110,dublin,PHIBSBOROUGH ROAD,Phibsborough Road,0,0,40,30,10,OPEN,1709177973000,53.356307,-6.273717
80,12,dublin,ECCLES STREET,Eccles Street,0,0,20,1,19,OPEN,1709177795000,53.359246,-6.269779
81,34,dublin,PORTOBELLO HARBOUR,Portobello Harbour,0,0,30,2,27,OPEN,1709177867000,53.330362,-6.265163
82,78,dublin,MATER HOSPITAL,Mater Hospital,0,0,40,20,20,OPEN,1709177848000,53.359967,-6.264828
83,2,dublin,BLESSINGTON STREET,Blessington Street,0,0,20,5,15,OPEN,1709177793000,53.356769,-6.26814
84,75,dublin,JAMES STREET,James Street,0,0,40,27,13,OPEN,1709177973000,53.343456,-6.287409
85,111,dublin,MOUNTJOY SQUARE EAST,Mountjoy Square East,0,0,40,29,11,OPEN,1709177771000,53.356717,-6.256359
86,26,dublin,MERRION SQUARE WEST,Merrion Square West,1,0,20,15,5,OPEN,1709177730000,53.339764,-6.251988
87,65,dublin,CONVENTION CENTRE,Convention Centre,1,0,40,32,8,OPEN,1709177983000,53.34744,-6.238523
